obs_n,study_id,study_name,effect_orig,se_orig,t_stat,95_lower_orig,95_upper_orig,effect,se,se_precision,95_lower,95_upper,est_short_run,est_long_run,est_agg_city,est_agg_subregion,est_agg_region,est_agg_country,est_agg_continent,n_obs,regressands,reg_df,study_size,years_of_schooling,years_of_experience,schooling_years,schooling_levels,wage_mean_annual_earnings,wage_log_hourly,wage_log_daily,wage_log_monthly,data_type_micro,data_type_survey,data_type_national_register,data_cross_section,data_panel,TEMP_data_avgyear,data_avgyear,no_ed,prim_ed,sec_ed,higher_ed,wage_earners,self_employed,gender_male,gender_female,private_sector,public_sector,ethnicity_caucasian,ethnicity_other,sector_rural,sector_urban,country,region_advanced_economies,region_east_asia_and_pacific,region_europe_and_central_asia,region_middle_east_and_north_africa,region_south_asia,region_sub_saharan_africa,income_high,income_middle,income_low,med_exp,min_wage,mean_age,method_ols,method_hurdle,method_cohort,method_fe,method_2sls,method_heckman,method_probit,method_IV,ability_direct,ability_proxy,ability_uncontrolled,ability_unmentioned,instr_parents_ed,instr_distance_to_school,instr_spouse_ed,instr_marital_status,instr_nsiblings,instr_other,age_control,age_sq_control,exp_control,exp_sq_control,ethnicity_control,health_control,gender_control,occupation_control,firm_char_control,area_control,macro_var_control,impact_factor,citations,published,unpublished,pub_year,effect_w,se_w,se_precision_w,t_w,significant_w,...106
11,2,Bartolj et al. (2013),16.01724009818541,0.8132373559785089,19.69565217391304,15.204002742206903,16.83047745416392,0.01207465876414287,6.130621447578059e-4,1631.1560068597228,0.011461596619385065,0.012687720908900676,1,0,0,0,0,1,0,2660289,6,2660282,48,20,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
12,2,Bartolj et al. (2013),4.690018626419179,0.4025365288144205,11.65116279069768,4.287482097604759,5.092555155233599,0.007143225362542467,6.130911987810896e-4,1631.0787073573047,0.006530134163761378,0.007756316561323556,1,0,0,0,0,1,0,2660289,6,2660282,48,22,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
13,2,Bartolj et al. (2013),6.08845115109895,1.004280602243126,6.0625,5.084170548855824,7.092731753342076,0.003716934547899298,6.131026058390594e-4,1631.0483603824414,0.0031038319420602384,0.004330037153738357,1,0,0,0,0,1,0,2660289,6,2660282,48,16,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2008,7.60489448081162,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
14,2,Bartolj et al. (2013),8.849056977364178,0.1675957760864427,52.8,8.681461201277735,9.016652753450622,0.03235509240370247,6.127858409792134e-4,1631.8914914907793,0.031742306562723255,0.032967878244681684,1,0,0,0,0,1,0,2660289,6,2660282,48,18,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2008,7.60489448081162,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
15,2,Bartolj et al. (2013),15.75836902790224,0.5627988938536514,28,15.19557013404859,16.321167921755894,0.01716446250478463,6.130165180280225e-4,1631.2774135627576,0.016551445986756605,0.017777479022812653,1,0,0,0,0,1,0,2660289,6,2660282,48,20,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2008,7.60489448081162,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
16,2,Bartolj et al. (2013),4.54664030948102,0.2081708362301404,21.84090909090909,4.33846947325088,4.754811145711161,0.013389610361672894,6.130518792025052e-4,1631.1833205712708,0.012776558482470389,0.0140026622408754,1,0,0,0,0,1,0,2660289,6,2660282,48,22,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2008,7.60489448081162,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
17,2,Bartolj et al. (2013),4.981100150790518,1.776698142957128,2.803571428571428,3.2044020078333904,6.757798293747646,0.0017612813163404189,6.282277306691942e-4,1591.7794633719693,0.0011330535856712248,0.002389509047009613,1,0,0,0,0,1,0,2533761,6,2533754,48,16,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2004,7.602900462204755,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
18,2,Bartolj et al. (2013),8.331252560617308,0.3386688032771264,24.6,7.9925837573401814,8.669921363894435,0.01545258091362453,6.281536956757939e-4,1591.9670725238007,0.014824427217948737,0.016080734609300325,1,0,0,0,0,1,0,2533761,6,2533754,48,18,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2004,7.602900462204755,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
19,2,Bartolj et al. (2013),23.00406497347964,2.197403221347309,10.46875,20.80666175213233,25.201468194826948,0.006576627025562403,6.282151188596922e-4,1591.8114193353942,0.00594841190670271,0.007204842144422095,1,0,0,0,0,1,0,2533761,6,2533754,48,20,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2004,7.602900462204755,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
20,2,Bartolj et al. (2013),-2.788889523882099,2.052035554940618,-1.359084406294707,-4.840925078822718,-0.7368539689414813,-8.538155254552276e-4,6.282284760981095e-4,1591.7775746348555,-0.001482044001553337,-2.2558704935711808e-4,1,0,0,0,0,1,0,2533761,6,2533754,48,22,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2004,7.602900462204755,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
21,2,Bartolj et al. (2013),5.880724981021745,1.32080454119205,4.452380952380952,4.559920439829694,7.201529522213795,0.0027971025782461555,6.28226247520527e-4,1591.7832213263669,0.0021688763307256284,0.0034253288257666825,1,0,0,0,0,1,0,2533761,6,2533754,48,16,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
22,2,Bartolj et al. (2013),7.430581565768501,0.2586049268828945,28.73333333333333,7.1719766388856065,7.689186492651395,0.018048164603853674,6.281263783243738e-4,1592.0363075145128,0.0174200382255293,0.01867629098217805,1,0,0,0,0,1,0,2533761,6,2533754,48,18,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
23,2,Bartolj et al. (2013),11.75866856758809,0.8819001425691068,13.33333333333334,10.876768425018984,12.640568710157197,0.008376088890596987,6.282066667947738e-4,1591.832836003133,0.007747882223802213,0.00900429555739176,1,0,0,0,0,1,0,2533761,6,2533754,48,20,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
24,2,Bartolj et al. (2013),12.38327277669038,1.851581613481806,6.687943262411348,10.531691163208574,14.234854390172185,0.004201520850698175,6.282231600725797e-4,1591.7910442596042,0.003573297690625596,0.004829744010770755,1,0,0,0,0,1,0,2533761,6,2533754,48,22,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
25,2,Bartolj et al. (2013),4.311443133061021,1.053908321414916,4.090909090909091,3.2575348116461047,5.365351454475936,0.0025700180332965724,6.282266303613843e-4,1591.7822512948153,0.0019417914029351883,0.0031982446636579565,1,0,0,0,0,1,0,2533761,6,2533754,48,16,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2008,7.60489448081162,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
26,2,Bartolj et al. (2013),6.838516016464702,0.1918971331150809,35.63636363636364,6.646618883349621,7.030413149579783,0.02238217816477785,6.280713260524396e-4,1592.1758541107272,0.02175410683872541,0.02301024949083029,1,0,0,0,0,1,0,2533761,6,2533754,48,18,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2008,7.60489448081162,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
27,2,Bartolj et al. (2013),11.579568022107,0.5817051439676987,19.90625,10.997862878139301,12.1612731660747,0.01250469988153416,6.281795858855464e-4,1591.9014601378638,0.011876520295648613,0.013132879467419705,1,0,0,0,0,1,0,2533761,6,2533754,48,20,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2008,7.60489448081162,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
28,2,Bartolj et al. (2013),3.874924789383116,0.3680096168687876,10.52941176470588,3.5069151725143284,4.242934406251903,0.0066147340006580835,6.282149609563544e-4,1591.8118194410138,0.005986519039701729,0.007242948961614438,1,0,0,0,0,1,0,2533761,6,2533754,48,22,18.079999999999998,0,1,1,0,0,0,0,0,1,0,1,2008,7.60489448081162,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
29,2,Bartolj et al. (2013),10.52094495921161,1.983949620879903,5.303030303030303,8.536995338331707,12.504894580091513,0.018666842736476272,0.0035200332017355255,284.08822948231216,0.015146809534740745,0.022186875938211798,1,0,0,0,0,1,0,80686,7,80678,48,16,6.28,0,1,1,0,0,0,0,0,1,0,1,2004,7.602900462204755,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
30,2,Bartolj et al. (2013),8.877536588007406,0.4020016568154297,22.08333333333334,8.475534931191977,9.279538244822835,0.07751369312102106,0.0035100540281217075,284.89589960389236,0.07400363909289935,0.08102374714914277,1,0,0,0,0,1,0,80686,7,80678,48,18,6.28,0,1,1,0,0,0,0,0,1,0,1,2004,7.602900462204755,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
31,2,Bartolj et al. (2013),20,1.896907216494845,10.54347826086956,18.103092783505154,21.896907216494846,0.03709431429439829,0.003518223623798602,284.23434861718846,0.03357609067059968,0.04061253791819689,1,0,0,0,0,1,0,80686,7,80678,48,20,6.28,0,1,1,0,0,0,0,0,1,0,1,2004,7.602900462204755,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
32,2,Bartolj et al. (2013),8.535708409721066,2.126491816359081,4.013986013986014,6.409216593361984,10.662200226080147,0.014130415467976604,0.0035202951427189097,284.06709081433644,0.010610120325257695,0.017650710610695515,1,0,0,0,0,1,0,80686,7,80678,48,22,6.28,0,1,1,0,0,0,0,0,1,0,1,2004,7.602900462204755,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
33,2,Bartolj et al. (2013),10.3021993206643,1.385675932019174,7.434782608695653,8.916523388645127,11.687875252683474,0.026166280131447194,0.003519441187270674,284.136016711079,0.02264683894417652,0.029685721318717866,1,0,0,0,0,1,0,80686,7,80678,48,16,6.28,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
34,2,Bartolj et al. (2013),8.792008174013732,0.2516796233019198,34.93333333333334,8.540328550711813,9.043687797315652,0.1220681841708002,0.0034943182491641274,286.17885627309676,0.11857386592163607,0.12556250241996433,1,0,0,0,0,1,0,80686,7,80678,48,18,6.28,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
35,2,Bartolj et al. (2013),15.10864433221337,0.8364031609116944,18.06382978723404,14.272241171301676,15.945047493125063,0.06346814282623982,0.003513548542795373,284.61254706457015,0.05995459428344445,0.06698169136903519,1,0,0,0,0,1,0,80686,7,80678,48,20,6.28,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
36,2,Bartolj et al. (2013),3.633971264252933,0.338593205553361,10.73255813953489,3.2953780586995722,3.972564469806294,0.03775859951337092,0.003518136032665111,284.24142520790053,0.03424046348070581,0.04127673554603603,1,0,0,0,0,1,0,80686,7,80678,48,22,6.28,0,1,1,0,0,0,0,0,1,0,1,2006,7.603897968521881,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,1,0,0,699.5,462,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03,16,1,0,15,NA,NA,NA,NA,NA,X
